Group,Age,Page,Region,Parent,Family,Edu,Sex,Job,School,Play,Lesson,sleep,Beh,Hyp,Emo,Peer,Pro
1,8,39,23,2,4,3,1,5,5,0.428571429,0.214285714,8.5,1,2,3,3,3
1,4,39,27,2,4,3,2,0,5,0.035714286,0,9.5,3,3,0,2,2
1,4,42,2,1,5,4,1,5,5,1,0,10,2,4,0,3,6
1,7,32,28,2,4,3,1,5,5,0.428571429,0.214285714,9.5,3,3,2,2,4
1,4,39,34,2,4,4,1,0,5,1,0.214285714,10,0,8,0,2,1
1,6,32,14,2,3,4,2,0,5,0.428571429,0.5,9.5,1,2,3,2,7
1,7,38,38,2,5,4,1,5,5,0.5,0.214285714,8.5,5,9,5,3,1
1,9,41,22,2,6,3,1,5,5,0.214285714,1,9,2,3,1,1,5
1,6,41,16,2,6,2,1,0,5,0.5,1,9.5,2,5,4,3,6
1,6,35,2,2,3,2,1,5,5,0.214285714,0.214285714,9.5,0,8,2,4,9
1,8,44,21,2,4,2,1,0,5,0.5,0,9,2,1,3,0,10
1,8,44,13,2,4,3,1,0,5,2,0.214285714,9.5,4,4,3,1,2
1,9,44,41,2,3,5,1,5,5,0.035714286,0.25,8.5,4,6,5,2,8
1,4,46,23,2,4,2,2,0,5,0.642857143,0,10.5,3,0,0,1,4
1,7,39,13,1,4,4,2,5,5,0.5,0,10.5,4,5,5,5,4
1,6,49,6,1,5,5,1,5,5,1,0.107142857,9.5,4,5,0,0,5
1,9,43,27,2,6,3,2,0,5,0.214285714,0.107142857,9,2,3,3,1,7
1,7,43,13,2,5,4,1,0,5,0.428571429,0.214285714,9,4,5,4,2,7
1,8,38,23,2,4,3,2,0,5,0.035714286,0.214285714,9.5,3,3,5,5,5
1,8,35,4,2,4,3,1,5,5,0.107142857,0.428571429,9.5,2,3,0,2,5
1,8,43,12,2,3,3,1,5,5,1,0.214285714,9,4,4,1,4,8
1,7,28,27,2,4,3,2,0,5,0.5,1,10,1,4,0,4,5
1,5,42,23,2,5,4,1,0,5,0.5,0.214285714,10,0,2,4,3,5
1,6,37,11,2,4,2,2,0,5,0.214285714,0.214285714,10.5,1,3,2,1,6
1,8,45,33,2,5,4,2,0,5,0.214285714,0.214285714,8.5,1,1,0,1,8
1,6,34,24,2,3,3,2,5,5,0.107142857,0.428571429,10,3,5,3,2,6
1,9,44,31,2,4,2,2,0,5,0.5,0.25,9.5,1,0,0,0,9
1,6,40,11,2,4,3,2,0,5,1,0.428571429,8.5,4,6,3,2,7
1,4,37,13,2,4,4,2,0,5,1,0.214285714,11.5,2,2,0,1,5
1,4,35,13,2,2,3,2,5,5,2,0.214285714,10,1,4,0,3,6
1,8,46,34,1,4,4,2,5,5,0.428571429,0,7.5,4,6,0,3,2
1,8,49,14,1,3,3,1,5,5,0.107142857,0.107142857,8.5,2,2,1,0,7
1,8,44,22,2,3,3,2,5,5,0.107142857,0.214285714,9.5,0,1,0,1,9
1,8,38,9,2,4,4,2,0,5,0.035714286,0,9.5,1,2,5,3,7
1,7,26,40,2,3,1,2,5,5,1,0,9.5,6,10,4,0,10
1,8,35,33,2,4,4,1,5,5,2,0.25,10,2,2,0,1,6
1,9,40,28,1,4,4,2,5,5,0.5,0.5,9,1,2,3,1,5
1,6,33,14,2,4,3,2,0,5,0.5,0.214285714,10,1,1,0,0,7
1,5,35,20,2,5,3,1,0,5,0.214285714,0,10,3,6,4,1,8
1,7,36,37,2,4,3,2,5,5,0.035714286,0.428571429,9,3,6,2,5,3
1,6,37,27,2,3,4,1,0,5,0.035714286,0.25,10.5,0,1,2,4,9
1,5,35,28,2,2,3,2,5,5,2,0,9.5,1,5,1,0,6
1,8,39,11,2,3,3,2,0,5,0.035714286,0,9,1,7,1,2,7
1,7,42,22,2,4,4,2,0,5,0.214285714,0.5,10.5,0,2,1,0,5
1,5,38,23,2,6,3,2,5,5,0.5,1,10,0,0,1,0,8
1,8,51,13,2,4,4,1,0,5,0.642857143,0.5,9,6,10,7,0,6
1,9,41,35,2,4,4,2,5,5,0.035714286,0.035714286,10,2,4,0,4,0
1,8,34,40,2,5,4,2,0,5,0,0.214285714,9.5,0,1,3,0,8
1,7,37,14,2,3,4,1,5,5,0.5,0,9,2,2,1,3,2
1,7,32,26,2,3,4,2,5,5,1,0.214285714,9.5,6,6,5,5,6
1,5,36,11,2,3,3,2,0,5,1,0.214285714,10.5,1,5,1,0,6
1,7,43,37,2,4,2,1,5,5,0.428571429,0,9,3,6,1,2,6
1,7,38,42,2,4,2,1,5,5,0.142857143,0.214285714,9,2,5,1,3,4
1,4,40,12,2,4,4,2,5,5,0.5,0,8.5,1,2,1,2,6
1,7,37,28,2,3,4,2,5,5,0.107142857,1,9.5,0,3,1,5,3
1,5,35,27,2,4,4,1,0,5,0.5,0.107142857,11,1,2,1,3,6
1,9,43,1,2,4,3,1,0,5,0.5,0.214285714,9,4,4,0,2,1
1,7,38,14,2,4,3,2,5,5,0,0.5,9,4,3,0,0,7
1,6,37,27,2,3,4,1,0,5,0.214285714,0.214285714,10.5,1,2,0,1,6
1,4,41,33,2,4,4,1,0,5,0.107142857,0.5,11,2,4,8,0,6
1,9,37,20,2,4,3,1,0,5,0.071428571,0.214285714,8,7,6,4,6,6
1,8,43,18,1,4,4,1,5,5,0.107142857,0.107142857,9,4,5,6,2,5
1,8,42,13,2,4,4,2,5,5,0.5,0.5,9,2,2,3,5,5
1,8,47,28,2,5,4,1,0,5,0.25,0.25,9,2,2,0,1,6
1,6,35,8,2,3,1,1,5,5,0.035714286,1,9,2,2,6,5,5
1,8,45,3,2,3,2,1,0,5,0.142857143,0.214285714,8.5,4,5,5,1,4
1,4,34,22,2,5,3,2,0,5,1,0.214285714,10.5,1,1,4,1,8
1,7,43,9,2,4,4,2,0,5,0,0.107142857,10,4,3,2,1,5
1,5,45,12,2,3,4,2,0,5,0.5,0.214285714,9.5,1,2,1,3,4
1,6,40,7,2,6,3,1,0,5,0,0,9.5,5,5,0,5,2
1,8,39,23,2,3,4,1,5,5,0.107142857,0.5,9,0,0,0,0,9
1,7,43,12,2,4,3,1,0,5,1,1,8,3,4,1,2,4
1,7,37,34,2,4,3,2,5,5,1,0.5,9.5,4,1,3,3,5
1,6,29,39,2,5,4,1,5,5,3,1,9,4,6,5,3,6
1,4,42,12,2,3,2,2,0,5,0.5,0,11.5,3,5,6,4,7
1,6,35,33,2,4,3,2,0,5,1,0.107142857,9,1,7,0,1,7
